,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,License_number,Brand,Type_of_Veihcle,Veihcle_Model,Production_Year,Engine_Size,Country,LastTestDT,TokefDT,Importer,RoadDT,Engine Type
58,58,58,58,90473001,3.0,1,FORD MUSTANG P8E,2016,,1,2021,2022,0,2016,1
59,59,59,59,9561373,4.0,1,AVV50L-CEXGBA,2012,,1,2021,2022,1,2012,1
60,60,60,60,9564074,12.0,1,970_פנמרה,2012,,3,2020,2021,0,2012,1
61,61,61,61,9194678,9.0,1,EVOQUE רובר VA2B,2014,,5,2021,2022,0,2014,4
62,62,62,62,9622474,8.0,1,KF91,2012,,3,2021,2022,0,2012,1
63,63,63,63,9092575,9.0,1,RANGE ROVER VA2B,2013,,5,2021,2022,0,2013,4
64,64,64,64,9412972,13.0,1,CV14526,2010,,1,2021,2022,0,2010,3
65,65,65,65,9919671,7.0,1,PGSFV,2009,,8,2021,2022,0,2009,1
68,68,68,68,9167579,6.0,1,222.163,2016,,3,2021,2022,0,2016,5
69,69,69,69,90632301,8.0,1,BMW 740LE 7J21,2017,,3,2021,2022,0,2017,2
70,70,70,70,9403575,9.0,1,ROVER SPORT WA2K,2014,,5,2021,2022,0,2014,4
71,71,71,71,9204073,6.0,1,CLS350 - 218.359,2011,,3,2021,2022,0,2011,1
72,72,72,72,9911172,8.0,1,FG2C X6,2011,,1,2021,2022,0,2011,1
73,73,73,73,9740278,2.0,1,ספורט רנגלר JWAG,2016,,1,2021,2022,0,2016,1
74,74,74,74,9721671,8.0,1,X6 M_GZOC,2010,,1,2020,2021,0,2010,1
75,75,75,75,9969972,8.0,1,V4C5 X5,2011,,1,2021,2022,0,2011,1
76,76,76,76,9850172,8.0,1,XDRIVE 35I X6,2010,,1,2020,2021,0,2010,1
78,78,78,78,9398574,8.0,1,X6 FG2C,2013,,1,2021,2022,0,2013,1
79,79,79,79,9802573,3.0,1,FIESTA XXGAJ,2012,,3,2021,2022,0,2012,1
80,80,80,80,9880473,8.0,1,ZWOC,2011,,1,2021,2022,0,2011,4
81,81,81,81,9821273,12.0,1,92A,2012,,3,2021,2022,0,2012,1
83,83,83,83,90117001,6.0,1,222163_S 500 E,2017,,3,2021,2022,0,2017,2
84,84,84,84,9770474,4.0,1,סיינהGSL30L-PRTQK7,2012,,1,2020,2021,0,2012,1
85,85,85,85,9282472,4.0,1,סיאנהGSL3OL-PRTEKA,2011,,1,2020,2021,1,2011,1
87,87,87,87,9373972,4.0,1,XLE סיאנה טויוטה,2011,,1,2021,2022,0,2011,1
88,88,88,88,9967072,8.0,1,X5 WOC5,2011,,1,2021,2022,0,2011,4
89,89,89,89,9836676,8.0,1,M5 FV91,2014,,3,2021,2022,0,2014,1
90,90,90,90,9561279,12.0,1,A2A,2016,,3,2021,2022,0,2016,2
91,91,91,91,9505772,6.0,1,164.186,2011,,1,2021,2022,0,2011,1
92,92,92,92,9979472,7.0,1,S4GG,2011,,1,2021,2022,0,2011,1
93,93,93,93,9060170,8.0,1,M4 COUPE______3R91,2015,,3,2021,2022,0,2015,1
94,94,94,94,9422672,4.0,1,ASV40L-CETNKA,2010,,1,2021,2022,0,2010,1
95,95,95,95,9197878,6.0,1,מאטיק4 CLS 400,2015,,3,2021,2022,0,2015,1
96,96,96,96,9763576,12.0,1,BOXTER S 981,2014,,3,2021,2022,0,2014,1
97,97,97,97,90234501,8.0,1,XDRIVE L_74OC 7J21,2017,,3,2021,2022,0,2017,2
98,98,98,98,9508579,6.0,1,C350PLUGIN 205.047,2016,,3,2021,2022,0,2016,2
100,100,100,100,9672574,4.0,1,AVV50L-CEXGBA,2013,,1,2021,2022,0,2013,1
101,101,101,101,9917871,6.0,1,212.057,2010,,3,2021,2022,0,2010,1
102,102,102,102,9570174,12.0,1,911- CARRERA AA2A,2012,,3,2021,2022,0,2012,1
103,103,103,103,9779576,4.0,1,קאמריAVV50L-CEXNBA,2015,,1,2020,2021,1,2015,1
104,104,104,104,9583371,6.0,1,212.056,2010,,3,2021,2021,0,2010,1
106,106,106,106,90103801,6.0,1,E350E_______213050,2017,,3,2021,2022,0,2017,2
107,107,107,107,9520576,6.0,1,S 550_______ UG8CB,2014,,3,2021,2022,0,2014,1
108,108,108,108,9686778,6.0,1,S500 E 222.163,2015,,3,2021,2022,0,2015,2
109,109,109,109,9943578,6.0,1,222.163,2015,,3,2020,2021,0,2015,1
110,110,110,110,9779876,8.0,1,Z4 LL31,2014,,3,2020,2021,0,2014,1
111,111,111,111,9626476,6.0,1,CLS 500_____218373,2013,,3,2020,2021,0,2013,1
113,113,113,113,9716471,4.0,1,AHV40L_CEXGBA,2010,,1,2021,2021,0,2010,1
114,114,114,114,90765701,13.0,1,CORVETTE YB3D73,2018,,1,2021,2022,0,2018,1
115,115,115,115,90431501,6.0,1,E43 4MATIC 213.064,2017,,3,2021,2022,0,2017,1
116,116,116,116,90699701,11.0,1,VOLVO XC90 T2 LFBA,2018,,6,2021,2022,0,2018,2
117,117,117,117,90763401,6.0,1,GLE 550E DA6DB,2017,,1,2021,2022,0,2017,2
118,118,118,118,90703201,8.0,1,B.M.W 530E JA91,2018,,3,2021,2022,0,2018,2
119,119,119,119,90493301,8.0,1,BMW X5 KT0C,2018,,1,2021,2022,1,2018,2
120,120,120,120,90526101,2.0,1,GRAND CHEROKE JFBG,2017,,1,2021,2022,0,2017,1
121,121,121,121,90486801,8.0,1,BMW 740LE 7J01,2018,,3,2021,2022,1,2018,2
122,122,122,122,90403501,13.0,1,TAHOE SKCKC,2018,,1,2021,2022,1,2018,1
123,123,123,123,9461969,6.0,1,221.171,2009,,3,2021,2022,0,2009,1
124,124,124,124,9351155,13.0,1,CORVETTE YY338,1991,,1,2020,2023,0,1991,1
125,125,125,125,91558701,6.0,1,E300E,2019,,3,2020,2022,0,2019,2
127,127,127,127,92103501,2.0,1,JEEP JXEN,2020,,1,2020,2022,0,2020,1
129,129,129,129,91865501,4.0,1,AXVA7OL-CEZSBA,2019,,1,2020,2023,0,2019,1
130,130,130,130,9387855,6.0,1,MERCEDES,1990,,3,2021,2023,0,1990,1
131,131,131,131,92597701,2.0,1,JFLT,2019,,1,2021,2021,0,2019,1
132,132,132,132,92579101,6.0,1,213.053,2021,,3,2021,2021,0,2021,2
133,133,133,133,92468701,5.0,1,RL6H,2020,,1,2021,2021,0,2020,1
134,134,134,134,92618901,8.0,1,TA6C,2020,,1,2021,2022,0,2020,2
135,135,135,135,92614301,6.0,1,238359,2021,,3,2021,2021,0,2021,2
136,136,136,136,92621701,12.0,1,9YA,2021,,3,2021,2022,0,2021,1
138,138,138,138,92630901,6.0,1,213016,2021,,3,2021,2021,0,2021,6
140,140,140,140,92632101,3.0,1,FORD MUSTANG,2020,,1,2021,2023,0,2020,1
142,142,142,142,92629101,6.0,1,E200,2020,,3,2021,2022,0,2020,2
145,145,145,145,92607401,4.0,1,AXLH4OL-PPXEHN,2021,,1,2021,2022,0,2021,2
146,146,146,146,9689179,12.0,1,92A,2015,,3,2021,2022,0,2015,2
147,147,147,147,9483575,4.0,1,HIGHLANDER__GSU552,2014,,1,2021,2022,0,2014,1
149,149,149,149,9117578,13.0,1,CAMARO LT FF3D3,2015,,4,2021,2022,0,2015,1
150,150,150,150,9378472,8.0,1,ZWOC,2011,,1,2021,2022,0,2011,4
151,151,151,151,90108001,13.0,1,YB3D72,2016,,1,2021,2022,0,2016,1
152,152,152,152,9763172,6.0,1,207.457 CGI E350,2010,,3,2020,2021,0,2010,1
153,153,153,153,9151779,8.0,1,8I 2Z21,2015,,3,2021,2022,0,2015,5
154,154,154,154,9596372,13.0,1,C1ED,2011,,4,2020,2021,0,2011,1
155,155,155,155,9932373,6.0,1,S 350 L____221 157,2011,,3,2021,2022,0,2011,1
156,156,156,156,9394773,6.0,1,BF7B,2011,,1,2021,2022,0,2011,1
157,157,157,157,9385279,4.0,1,AVX40L-AEXGBA,2015,,1,2021,2022,0,2015,2
159,159,159,159,9597873,6.0,1,164186_ML350 מרצדס,2012,,1,2021,2022,0,2012,1
160,160,160,160,9861075,8.0,1,640D__________6A61,2013,,3,2021,2021,0,2013,4
161,161,161,161,9686372,5.0,1,XLP אקורד CP2F,2011,,1,2021,2022,0,2011,1
165,165,165,165,91516101,8.0,1,BMW X-5 KTOC,2016,,1,2021,2022,0,2016,2
166,166,166,166,92398201,8.0,1,53AP,2020,,3,2021,2022,0,2020,1
167,167,167,167,90785101,6.0,1,C350 205 047,2018,,3,2021,2022,0,2018,2
168,168,168,168,90959501,7.0,1,WRANGLER JXFG,2018,,1,2021,2022,0,2018,1
169,169,169,169,90601701,6.0,1,S550E,2017,,1,2021,2022,0,2017,2
170,170,170,170,92030801,4.0,1,AXZHOL-BEXGBA,2020,,1,2020,2022,0,2020,2
171,171,171,171,90373701,8.0,1,BMW I8 2Z21,2017,,3,2021,2022,0,2017,2
172,172,172,172,91512001,6.0,1,E300E 213.053,2020,,3,2020,2022,1,2020,2
173,173,173,173,91509901,6.0,1,GLC350EAMG 253.354,2018,,3,2019,2021,0,2018,2
174,174,174,174,92609301,4.0,1,GSL35L-PFZQHA,2018,,1,2021,2022,0,2018,1
176,176,176,176,9306055,8.0,1,BMW BB13 3251,1988,,3,2019,2021,0,1988,1
177,177,177,177,91688301,5.0,1,RL6H,2020,,1,2020,2023,0,2020,1
178,178,178,178,92628901,3.0,1,FORD,2021,,1,2021,2022,0,2021,1
179,179,179,179,9401055,6.0,1,MERCEDES,1991,,3,2021,2023,0,1991,1
180,180,180,180,9239671,7.0,1,R5GK,2010,,1,2021,2022,1,2010,3
181,181,181,181,92090201,6.0,1,E300E 213.053,2019,,3,2020,2022,0,2019,2
182,182,182,182,92179001,8.0,1,530E,2019,,3,2021,2022,0,2019,2
183,183,183,183,9323155,6.0,1,SEL-450 116036,1980,,3,2021,2022,0,1980,1
184,184,184,184,9371055,8.0,1,BMW,1990,,3,2021,2023,0,1990,1
185,185,185,185,91537101,12.0,1,CAYENNE 9YA,2020,,3,2020,2023,1,2020,2
187,188,188,188,92391701,8.0,1,CV01,2020,,1,2021,2022,0,2020,4
188,189,189,189,9371555,6.0,1,124.23,1990,,3,2021,2023,0,1990,1
190,191,191,191,9385955,3.0,1,TAUNUS-20M GA41,1967,,3,2021,2022,0,1967,1
191,192,192,192,9260155,3.0,1,FORD MUSTANG 6R07,1967,,1,2021,2022,0,1967,1
192,193,193,193,92623901,12.0,1,ZZZ98,2021,,3,2021,2023,0,2021,1
193,194,194,194,92625301,9.0,1,ZA2B,2020,,5,2021,2022,0,2020,6
194,196,196,196,92302901,2.0,1,JXEG,2019,,1,2021,2022,0,2019,1
195,197,197,197,90703301,8.0,1,430I 4Z1C,2018,,3,2021,2022,0,2018,1
196,198,198,198,90758001,8.0,1,BMW 740LE 7J2C,2017,,3,2021,2022,0,2017,2
197,199,199,199,92029901,13.0,1,קורבט שברולט,2019,,1,2020,2022,0,2019,1
198,200,200,200,91517401,6.0,1,213-5-,2018,,3,2021,2022,0,2018,2
199,201,201,201,91533201,6.0,1,GLC350E 253.954,2018,,3,2020,2022,0,2018,2
200,202,202,202,91023001,11.0,1,T8 XC-90 BROP,2019,,6,2021,2022,0,2019,2
201,203,203,203,9403255,13.0,1,YY338,1991,,1,2021,2023,0,1991,1
202,204,204,204,9875373,6.0,1,207359,2011,,3,2020,2021,0,2011,1
203,205,205,205,9650675,4.0,1,קאמרי AWS0L-CEXGBA,2014,,1,2021,2022,0,2014,1
204,207,207,207,9974671,6.0,1,221.122,2009,,3,2021,2021,0,2009,4
205,208,208,208,9823672,8.0,1,XDRIVE35D X5 ZW0C,2011,,1,2021,2022,0,2011,4
206,209,209,209,9408255,6.0,1,EA66E2,1991,,3,2021,2023,0,1991,1
207,211,211,211,9417055,1.0,1,6LJ7,1978,,1,2021,2023,0,1978,1
208,212,212,212,9397855,6.0,1,FAC6E7,1991,,3,2021,2023,0,1991,1
210,214,214,214,9195455,1.0,1,EL5789 אלדורדו,1986,,1,2020,2021,0,1986,1
211,216,216,216,9581679,6.0,1,S500 PLA6 IMI 2221,2016,,3,2021,2021,0,2016,2
212,217,217,217,9628078,4.0,1,אבלוןAVX40L-AEXGBA,2015,,1,2021,2022,0,2015,2
213,218,218,218,9377155,6.0,1,MERCEDES,1990,,3,2021,2023,0,1990,1
214,219,219,219,9363055,1.0,1,FLETWOOD,1980,,1,2021,2023,0,1980,1
215,220,220,220,9339955,6.0,1,44.12,1973,,3,2020,2023,0,1973,1
216,222,222,222,9764172,4.0,1,LE סיינה טויטה,2009,,1,2020,2021,0,2009,3
218,224,224,224,9360155,6.0,1,FA66E,1990,,3,2020,2023,0,1990,1
219,225,225,225,90022201,6.0,1,217.482,2016,,3,2021,2022,0,2016,1
220,226,226,226,9009470,11.0,1,BC0P,2016,,6,2021,2022,0,2016,2
221,227,227,227,9408655,1.0,1,CADILLAC,1986,,1,2021,2023,0,1986,1
222,228,228,228,9238675,6.0,1,S-350 221.157,2014,,3,2021,2022,0,2014,1
223,229,229,229,9564773,7.0,1,JFCG,2012,,1,2021,2022,0,2012,1
224,230,230,230,9747872,4.0,1,VENZA________GG10L,2011,,1,2021,2022,0,2011,1
225,231,231,231,9749471,7.0,1,A5D1,2011,,1,2021,2023,1,2011,1
226,232,232,232,9779373,5.0,1,קרוסטר אקורד TF1H,2010,,1,2021,2023,0,2010,1
227,233,233,233,9321478,3.0,1,KID_XLT_ אקספלורר,2014,,1,2021,2022,0,2014,1
228,234,234,234,91176901,8.0,1,B M W,2017,,3,2021,2022,0,2017,2
229,235,235,235,9367875,6.0,1,E 200 207.334,2013,,3,2021,2022,0,2013,1
230,236,236,236,9807471,4.0,1,AHV40L-CEXGBA,2009,,1,2021,2022,0,2009,1
231,237,237,237,9229079,8.0,1,I8 PLOGIN 2Z21,2016,,3,2021,2023,0,2016,2
232,238,238,238,90422701,6.0,1,216.373,2017,,3,2021,2022,0,2017,2
233,239,239,239,9303372,3.0,1,47E,2010,,1,2021,2022,0,2010,1
236,242,242,242,9770076,6.0,1,CLS 400 218.361,2014,,3,2021,2022,0,2014,1
237,243,243,243,9236574,4.0,1,AVV50L-CEXGBA,2012,,1,2021,2022,0,2012,1
238,244,244,244,90520901,12.0,1,CAYENNE SE A2A,2017,,3,2021,2022,0,2017,2
239,245,245,245,9631372,4.0,1,SE קאמרי טויטה,2010,,1,2021,2022,0,2010,3
240,246,246,246,9318974,1.0,1,אסקלאד_K10706,2012,,1,2021,2023,0,2012,1
241,247,247,247,90922101,6.0,1,S550E UG6DB,2018,,3,2021,2023,0,2018,2
242,248,248,248,9222175,8.0,1,M5 FV9C,2012,,3,2021,2022,0,2012,1
243,249,249,249,9551572,6.0,1,164.186,2010,,1,2021,2022,0,2010,1
244,250,250,250,9979571,6.0,1,207.372,2011,,3,2021,2023,0,2011,1
245,251,251,251,9921972,8.0,1,X6 FG2C,2011,,1,2021,2023,0,2011,1
246,252,252,252,9586079,6.0,1,UGGDB3,2017,,3,2021,2023,1,2017,2
247,253,253,253,90306601,8.0,1,JA91,2018,,3,2021,2022,1,2018,2
248,254,254,254,9268555,8.0,1,735J GB43,1988,,3,2021,2023,0,1988,1
249,255,255,255,9825771,6.0,1,164.186,2009,,1,2021,2022,0,2009,1
251,258,258,258,91145601,8.0,1,530E JA91,2018,,3,2019,2021,0,2018,2
252,259,259,259,91576601,5.0,1,RL6H,2020,,1,2020,2023,1,2020,1
253,260,260,260,91300501,6.0,1,253954,2019,,3,2021,2022,0,2019,2
254,261,261,261,91483101,12.0,1,CAYENNE 9YA,2019,,3,2019,2022,1,2019,2
255,263,263,263,90194301,8.0,1,KTOC,2016,,1,2021,2022,0,2016,2
256,264,264,264,9598279,8.0,1,XDRIVE F-40___KTOC,2016,,1,2021,2022,0,2016,2
257,265,265,265,9879778,6.0,1,CLS 400 4 MATIC___,2015,,3,2021,2022,0,2015,1
258,266,266,266,9682375,9.0,1,RANGE ROVER LSAA,2013,,5,2021,2022,0,2013,4
259,267,267,267,9208878,9.0,1,ספורט רובר WA2K,2014,,5,2021,2022,0,2014,4
260,268,268,268,9899876,12.0,1,PANAMERA 4S 970,2014,,3,2021,2022,0,2014,1
261,270,270,270,9695775,6.0,1,DA5HB,2013,,1,2021,2023,0,2013,1
262,271,271,271,90758401,2.0,1,CHEROKEE JFLG,2018,,1,2021,2022,0,2018,1
263,272,272,272,90933101,6.0,1,CLC 350E 253.354,2017,,3,2021,2022,0,2017,2
264,273,273,273,9522778,12.0,1,בוקסטר 981,2014,,3,2021,2022,0,2014,1
265,274,274,274,9870776,8.0,1,X5,2014,,3,2021,2022,0,2014,4
266,275,275,275,9477973,8.0,1,650I LZ31,2011,,3,2021,2022,0,2011,1
267,276,276,276,9441779,3.0,1,P8T,2016,,1,2021,2022,0,2016,1
268,277,277,277,9358055,8.0,1,AA23,1989,,1,2021,2023,0,1989,1
269,278,278,278,90479901,6.0,1,E350C 213.050,2017,,3,2021,2022,0,2017,2
270,279,279,279,91327401,8.0,1,KTOC,2019,,1,2021,2022,0,2019,2
271,280,280,280,9807578,4.0,1,סיינהGSL30L PRTQKA,2016,,1,2021,2022,0,2016,3
272,281,281,281,9332476,9.0,1,HSE_ספורט WA2KF,2014,,5,2021,2022,0,2014,4
273,282,282,282,9621778,6.0,1,222.178,2014,,3,2020,2021,0,2014,1
274,283,283,283,91784101,8.0,1,BMW 530E JA91,2018,,3,2021,2022,0,2018,2
275,284,284,284,9417955,3.0,1,5F08,1965,,1,2021,2023,0,1965,1
276,285,285,285,9360855,8.0,1,325I BB13,1986,,3,2021,2023,0,1986,1
277,286,286,286,9314555,13.0,1,CHEVROLET CORVETTE,1988,,1,2020,2022,0,1988,1
278,287,287,287,9296255,1.0,1,ELDORADO EL67,1984,,1,2021,2023,0,1984,1
281,290,290,290,91680201,2.0,1,GRAND CHEROKE JFAG,2018,,1,2020,2022,0,2018,1
284,294,294,294,9366455,7.0,1,4663,1988,,1,2020,2023,0,1988,1
285,295,295,295,9413355,7.0,1,J45K,1989,,1,2021,2023,0,1989,1
286,296,296,296,9352655,8.0,1,BMW635 CS EC84,1987,,3,2020,2023,0,1987,1
287,297,297,297,9325055,16.0,1,ALFA ROMEO S BAJ41,1985,,7,2021,2022,0,1985,1
288,299,299,299,9364055,13.0,1,YZ23J2,1990,,1,2021,2023,0,1990,1
289,300,300,300,9376555,6.0,1,602013,1980,,3,2021,2023,0,1980,1
290,301,301,301,9417255,3.0,1,6T07,1966,,1,2021,2023,0,1966,1
291,302,302,302,90508201,6.0,1,E350E 213.050,2018,,3,2018,2021,1,2018,2
292,303,303,303,92635101,6.0,1,213053,2020,,3,2021,2022,0,2020,2
293,304,304,304,91359101,8.0,1,JA9L,2018,,3,2021,2022,0,2018,2
294,305,305,305,91562501,8.0,1,BMW JP91,2020,,3,2020,2022,1,2020,2
295,306,306,306,92636301,14.0,1,DZAG,2021,,4,2021,2022,0,2021,1
296,307,307,307,9269275,6.0,1,203.035,2001,,3,2021,2022,0,2001,1
297,308,308,308,90542801,4.0,1,CAMRY BG22K,2002,,1,2020,2022,1,2002,1
298,309,309,309,90626901,13.0,1,CHEVROLET FB1RS,2017,,1,2021,2022,0,2017,1
299,310,310,310,92079701,7.0,1,CAAG,2019,,4,2020,2022,0,2019,1
300,311,311,311,9366355,16.0,1,SPIDER BA54,1984,,7,2020,2023,0,1984,1
301,313,313,313,9298355,13.0,1,YY318,1987,,1,2021,2022,0,1987,1
302,314,314,314,9372772,6.0,1,164.186,2010,,1,2021,2023,0,2010,1
303,315,315,315,9548172,7.0,1,R4GG,2010,,1,2021,2022,0,2010,1
304,316,316,316,9319575,9.0,1,N2BG,2013,,5,2021,2022,0,2013,1
305,317,317,317,9735072,13.0,1,FC1EV_קאמרו,2010,,4,2021,2022,1,2010,1
306,318,318,318,9630674,5.0,1,PILOT_YF4H,2013,,1,2021,2022,0,2013,1
307,319,319,319,9300455,7.0,2,DODGE GD14,1985,,1,2021,2023,0,1985,1
308,320,320,320,9297655,6.0,3,MERCEDES 602,1984,,3,2021,2023,0,1984,1
309,323,323,323,9092969,3.0,1,EXPLORER XLT V63,2008,,1,2021,2022,0,2008,1
310,324,324,324,9934468,3.0,1,U75 - אקספלורר,2009,,1,2021,2022,0,2009,1
312,326,326,326,9091468,16.0,1,936A2100-166,2001,,7,2021,2022,0,2001,1
313,327,327,327,9411268,4.0,1,קמרי AHV40L-CEX6BA,2008,,1,2021,2022,0,2008,1
314,329,329,329,9693669,8.0,1,FF03_X-5,2009,,1,2021,2022,0,2009,4
315,330,330,330,9631968,6.0,1,קומפרסור C200,2008,,3,2021,2022,0,2008,1
316,331,331,331,9263968,7.0,1,R783 שירוקי גרנד,2008,,1,2021,2022,0,2008,1
317,332,332,332,90502101,8.0,1,BMW 530E JA91,2018,,3,2021,2022,1,2018,2
318,334,334,334,9411975,9.0,1,ספורט WA2K,2014,,5,2021,2022,0,2014,4
319,335,335,335,9160278,6.0,1,CLA200 117.343,2014,,3,2021,2022,0,2014,1
320,336,336,336,8390822,8.0,1,528I DD63,1998,,3,2021,2021,1,1998,1
321,337,337,337,9194075,8.0,1,KG91,2012,,3,2021,2022,0,2012,1
322,338,338,338,9401655,6.0,3,602018,1979,,3,2021,2022,0,1979,1
323,339,339,339,9289572,4.0,5,USK65L GKTSGA,2011,,2,2020,2021,0,2011,1
324,340,340,340,90141201,6.0,1,V 220,2016,,3,2021,2022,1,2016,4
326,343,343,343,9892879,13.0,1,FB1RX3,2016,,1,2021,2022,0,2016,1
327,344,344,344,9900171,6.0,1,221.156,2009,,3,2020,2021,0,2009,1
328,346,346,346,9126672,7.0,1,R6GT שירוקי גרנד,2011,,1,2021,2022,0,2011,1
330,349,349,349,9860279,6.0,1,212,2017,,3,2021,2022,1,2017,2
331,351,351,351,9989361,4.0,1,ERPN,2003,,2,2021,2022,0,2003,4
332,352,352,352,9396869,4.0,1,היברדAHV40L-CEXGBA,2009,,1,2020,2021,0,2009,1
